,strain,THC,CBD,Terpentines,MinorCanabanoids,Description,Feelings,HelpsWith,Negatives,type,rating,reviewCount
30,bruce-banner,19–25% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Bruce Banner might be best known as the alter-ego of comic book hero The Incredible Hulk, but maybe he wouldn’t be such a stressed out ball of anger if he just had some of his namesake strain. This green monster also has hidden strength and features dense nugs that pack the power of very high THC content. It’s a powerful strain whose effects come on quickly and strong and then tend to settle into a euphoric and creative buzz. The effects of this strain are most evident and linger mostly in the head, but it may also provide body relaxation that make it an appropriate daytime bud for some. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Plants flower at 8 to 10 weeks. This strain does have three main phenotypes, one of which is Bruce Banner #3.","['Happy 58%', 'Euphoric 58%', 'Relaxed 52%', 'Uplifted 49%', 'Creative 41%']","['Stress 31%', 'Depression 26%', 'Pain 24%', 'Anxiety 22%', 'Fatigue 12%']","['Dry mouth 23%', 'Dry eyes 13%', 'Dizzy 6%', 'Anxious 4%', 'Paranoid 4%']",Hybrid,4.5 ,1112 reviews
31,strawberry-cough,15–19% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Known for its sweet smell of fresh strawberries and an expanding sensation that can make even the most seasoned consumer cough, Strawberry Cough is a potent strain with mysterious genetic origins. The skunky, berry flavors will capture your senses while the cerebral, uplifting effects provide an aura of euphoria that is sure to leave a smile on your face. Strawberry Cough is a great solution in times of elevated stress.","['Happy 57%', 'Uplifted 53%', 'Euphoric 49%', 'Energetic 40%', 'Relaxed 39%']","['Stress 37%', 'Anxiety 31%', 'Depression 27%', 'Pain 20%', 'Fatigue 12%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 6%', 'Paranoid 5%', 'Headache 3%']",Sativa,4.3 ,2346 reviews
32,blue-cookies,14–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"Blue Cookies is an indica-dominant hybrid cross between two celebrity strains, Girl Scout Cookies and Blueberry. As the child of these heavyweight champion strains, Blue Cookies delivers a crushing blow of euphoria straight to the head, where it swiftly sinks down to relax the entire body. Sweet berry flavors fuse with earthy cherry notes in a flavor profile as enticing as the bud’s thick coat of frosty resin that stretches over twisting hues of green and purple. Novice consumers should approach Blue Cookies with modesty, but this strain’s potency is perfect for hard-to-impress veterans. You may also come across another variation of Blue Cookies, a select Girl Scout Cookies phenotype that lacks the Blueberry genetics.","['Relaxed 79%', 'Happy 65%', 'Euphoric 61%', 'Uplifted 45%', 'Hungry 30%']","['Stress 41%', 'Depression 33%', 'Anxiety 31%', 'Pain 29%', 'Insomnia 23%']","['Dry mouth 27%', 'Dry eyes 14%', 'Dizzy 4%', 'Paranoid 2%', 'Headache 2%']",Hybrid,4.7 ,514 reviews
33,mendo-breath,15–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Mendo Breath is an interesting mix of OGKB (OGKushBreath, which is the supposed patriarch in the Cookies Fam genetics) and Mendo Montage. Their forces combined make dense frosty buds that reek of sweet vanilla and caramel. But no matter how good this smells, save it for after work. This thumper can pivot your entire day’s plans with its powerful body high built for chronic pain and discomfort. ","['Relaxed 81%', 'Sleepy 50%', 'Happy 50%', 'Euphoric 46%', 'Uplifted 28%']","['Stress 43%', 'Pain 42%', 'Anxiety 36%', 'Insomnia 30%', 'Depression 25%']","['Dry mouth 27%', 'Dry eyes 12%', 'Dizzy 6%', 'Anxious 4%', 'Paranoid 3%']",Indica,4.7 ,342 reviews
34,9-pound-hammer,16–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"9 Pound Hammer is an indica created by JinxProof Genetics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. 9 Pound Hammer hosts a terpene profile abundant in myrcene, pinene, and caryophyllene with THC levels ranging between 17-21%. Effects can be heavy and long-lasting, making this strain useful for pain and stress relief. Best grown indoors, 9 Pound Hammer flowers between 50-60 days and will deliver high yields.","['Relaxed 72%', 'Sleepy 51%', 'Happy 36%', 'Euphoric 34%', 'Hungry 21%']","['Pain 32%', 'Stress 31%', 'Insomnia 28%', 'Anxiety 24%', 'Depression 22%']","['Dry mouth 20%', 'Dry eyes 9%', 'Dizzy 4%', 'Headache 2%', 'Anxious 1%']",Indica,4.5 ,825 reviews
35,blueberry,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",No relevant amounts,"A true A-List cannabis strain, Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best Indica. The long history of the strain goes back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation, the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. Many consumers utilize Blueberry to help contend with pain and stress, while connoisseurs and growers admire the strain for its colorful hues and high THC content. 
  ","['Relaxed 63%', 'Happy 55%', 'Euphoric 47%', 'Sleepy 40%', 'Uplifted 32%']","['Stress 40%', 'Pain 32%', 'Anxiety 29%', 'Insomnia 25%', 'Depression 24%']","['Dry mouth 30%', 'Dry eyes 18%', 'Dizzy 7%', 'Paranoid 5%', 'Headache 3%']",Indica,4.2 ,2129 reviews
36,super-silver-haze,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Super Silver Haze, bred by Green House Seeds, was the first prize winner at the High Times Cannabis Cup in 1997, 1998, and 1999. Crossing genetics of Skunk, Northern Lights, and Haze creates a beautiful, sticky sativa that boasts an energetic, long-lasting body high. The uplifting effects are a great for high stress levels or when suffering from a lack of appetite or nausea.","['Happy 61%', 'Uplifted 60%', 'Euphoric 56%', 'Energetic 52%', 'Creative 45%']","['Stress 39%', 'Anxiety 30%', 'Depression 29%', 'Pain 23%', 'Fatigue 15%']","['Dry mouth 30%', 'Dry eyes 18%', 'Dizzy 9%', 'Paranoid 8%', 'Anxious 5%']",Sativa,4.3 ,2044 reviews
37,mac,19–24% THC,< 1% CBD,"['Limonene', 'Pinene', 'Caryophyllene']",,"Bred by Capulator, Miracle Alien Cookies (better known as MAC) crosses Alien Cookies with a hybrid of Columbian and Starfighter. MAC is a gorgeous resin-covered flower with a dank, gassy musk and sour citrus highlights. The smooth flavors of MAC have thick zesty orange notes that are balanced out by floral accents and a sweet, earthy finish. 
  ","['Happy 73%', 'Relaxed 70%', 'Euphoric 59%', 'Uplifted 54%', 'Creative 33%']","['Depression 26%', 'Pain 26%', 'Stress 25%', 'Anxiety 22%', 'Lack of appetite 15%']","['Dry mouth 22%', 'Dry eyes 12%', 'Dizzy 5%', 'Paranoid 1%', 'Anxious 0%']",Hybrid,4.8 ,151 reviews
38,ice-cream-cake,19–24% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Linalool']",,"Bred by Seed Junky Genetics, Ice Cream Cake is an indica-dominant cross of Wedding Cake and Gelato #33. Completely flushed with icy trichomes, the buds express light green coloration with dark purple hues throughout. Ice Cream Cake maintains a creamy flavor profile with sweet hints of vanilla and sugary dough. Effects come on heavily, leaving you completely relaxed with a good night’s sleep soon to follow.","['Relaxed 82%', 'Happy 48%', 'Euphoric 48%', 'Sleepy 39%', 'Tingly 32%']","['Stress 30%', 'Pain 28%', 'Depression 25%', 'Anxiety 22%', 'Insomnia 17%']","['Dry mouth 15%', 'Dry eyes 11%', 'Dizzy 3%', 'Paranoid 3%', 'Anxious 1%']",Indica,4.7 ,211 reviews
39,sfv-og,17–21% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"SFV OG by Cali Connection is a sativa-dominant hybrid that is great for patients who need strong pain relief but don’t want to be stuck on the couch. As the name indicates, this OG Kush relative originates from California’s San Fernando Valley. Although their names are barely distinguishable, SFV OG Kush is actually the Afghani-crossed child to SFV OG. Leading with aromatic notes of earthy pine and lemon, its body effects take a little longer to feel than the initial head haziness.","['Relaxed 56%', 'Happy 55%', 'Euphoric 48%', 'Uplifted 43%', 'Focused 30%']","['Pain 35%', 'Stress 34%', 'Depression 27%', 'Anxiety 26%', 'Headaches 15%']","['Dry mouth 25%', 'Dry eyes 14%', 'Dizzy 5%', 'Headache 3%', 'Anxious 3%']",Hybrid,4.4 ,715 reviews
40,alien-og,13–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"First available as a clone in California’s Bay Area and now in seed form from Cali Connection, Alien OG is a cross of Tahoe OG and Alien Kush. Alien OG has the typical lemon and pine OG smell and flavor, and its intense high combines heavy body effects and a psychedelic cerebral buzz. Beginners and novices, be sure to take it slow with this heavy-hitter. 
  ","['Relaxed 64%', 'Euphoric 55%', 'Happy 55%', 'Uplifted 45%', 'Creative 30%']","['Stress 35%', 'Pain 28%', 'Anxiety 27%', 'Depression 25%', 'Insomnia 18%']","['Dry mouth 24%', 'Dry eyes 14%', 'Paranoid 6%', 'Dizzy 6%', 'Headache 4%']",Hybrid,4.4 ,975 reviews
41,animal-cookies,17–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Animal Cookies is the child of legendary strains GSC and Fire OG. This clone-only strain flowers in 9-10 weeks and grows dense, frosty green buds tipped with purple. True to its name, Animal Cookies has a sweet, sour aroma with heavy full-body effects that will impress any veteran consumer. This potent medicine might be overkill for mild symptoms, but its ability to obliterate severe pain and insomnia is unprecedented. 
  ","['Relaxed 71%', 'Happy 57%', 'Euphoric 50%', 'Uplifted 41%', 'Sleepy 30%']","['Stress 34%', 'Pain 31%', 'Anxiety 26%', 'Depression 25%', 'Insomnia 21%']","['Dry mouth 25%', 'Dry eyes 13%', 'Anxious 5%', 'Paranoid 4%', 'Headache 4%']",Hybrid,4.5 ,936 reviews
42,alaskan-thunder-fuck,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",No relevant amounts,"Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa-dominant strain originating in the Matanuska Valley area of Alaska.  According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier.  ATF usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk.  Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement.","['Happy 58%', 'Euphoric 55%', 'Uplifted 51%', 'Energetic 44%', 'Creative 37%']","['Stress 39%', 'Anxiety 29%', 'Depression 28%', 'Pain 26%', 'Fatigue 14%']","['Dry mouth 35%', 'Dry eyes 19%', 'Dizzy 8%', 'Paranoid 7%', 'Headache 4%']",Sativa,4.3 ,1969 reviews
43,tangie,14–19% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Tangie is another fantastic offering from DNA Genetics in Amsterdam that has quickly gained popularity in its home and is spreading elsewhere. This strain is a remake of sorts of the popular version of Tangerine Dream that was sought-after in the 1990s. The genetics on this strain are a cross of California Orange and a Skunk hybrid, and its citrus heritage is the most evident in its refreshing tangerine aroma. As a plant, Tangie grows best outside, producing sticky buds that provide euphoric yet relaxed effects.","['Happy 52%', 'Uplifted 49%', 'Energetic 42%', 'Euphoric 39%', 'Creative 36%']","['Stress 26%', 'Depression 25%', 'Anxiety 20%', 'Fatigue 14%', 'Pain 13%']","['Dry mouth 17%', 'Dry eyes 8%', 'Anxious 5%', 'Dizzy 3%', 'Paranoid 2%']",Sativa,4.5 ,1108 reviews
44,ghost-train-haze,14–19% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Limonene']",,"First bred by Rare Dankness, Ghost Train Haze is a sativa cross of Ghost OG and Neville’s Wreck. Unlike typical sativas, Ghost Train Haze grows dense buds blanketed in white, crystal-capped trichomes. With a sour citrus and floral aroma, Ghost Train Haze delivers a potent dose of THC to knock out pain, depression, and appetite loss, but patients prone to anxiety should steer clear of this heavy-hitter. Low doses are conducive to concentration and creativity, but you may notice some cerebral haziness as you smoke more. Ghost Train Haze is a suitable outdoor strain for warm climates and has a 65 to 80 day flowering time indoors.","['Happy 58%', 'Uplifted 53%', 'Euphoric 50%', 'Energetic 50%', 'Focused 39%']","['Stress 29%', 'Depression 28%', 'Pain 20%', 'Anxiety 17%', 'Fatigue 15%']","['Dry mouth 21%', 'Dry eyes 12%', 'Anxious 10%', 'Dizzy 7%', 'Paranoid 6%']",Sativa,4.5 ,966 reviews
45,grape-ape,14–19% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Grape Ape, propagated by Apothecary Genetics and Barney’s Farm, is a mostly indica strain that crosses Mendocino Purps, Skunk, and Afghani. Named for its distinct grape-like smell, this indica is known for providing carefree relaxation that can help soothe pain, stress, and anxiety. Its dense, compact buds are wreathed in deep purple leaves which darken as this indica reaches full maturation following its 7 to 8 week flowering time.","['Relaxed 62%', 'Happy 49%', 'Sleepy 45%', 'Euphoric 44%', 'Hungry 28%']","['Pain 41%', 'Stress 38%', 'Anxiety 32%', 'Insomnia 32%', 'Depression 21%']","['Dry mouth 29%', 'Dry eyes 17%', 'Dizzy 6%', 'Paranoid 4%', 'Headache 3%']",Indica,4.3 ,1939 reviews
46,blue-cheese,14–18% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",No relevant amounts,"Blue Cheese is an indica cross created by crossing a Blueberry male with an original U.K. Cheese (a Skunk #1 phenotype) female. The sweet and savory smells of berry and blue cheese combine to create a creamy, unique flavor reminiscent of the original Cheese. The heavy effects will help you feel relaxed at the end of the day and can provide relief for muscle spasms, pain, and stress.","['Relaxed 62%', 'Happy 55%', 'Euphoric 52%', 'Sleepy 38%', 'Uplifted 35%']","['Stress 41%', 'Pain 31%', 'Anxiety 30%', 'Insomnia 25%', 'Depression 24%']","['Dry mouth 37%', 'Dry eyes 21%', 'Dizzy 8%', 'Paranoid 5%', 'Headache 5%']",Indica,4.2 ,2558 reviews
47,birthday-cake-kush,16–19% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Birthday Cake Kush, also known as Wedding Cake or just Birthday Cake, is an indica-dominant hybrid with strong body effects and sweet cake-like flavor. As decadent as its Girl Scout Cookies and Cherry Pie parent strains, Birthday Cake Kush buds bloom with a crystalline icing of THC-rich resin. Like any dessert, Birthday Cake Kush is the perfect way to end your day, with deeply relaxing effects that soothe the body without sedating the mind. This strain is preferred by patients treating pain, anxiety, appetite loss, inflammation, and headaches.","['Relaxed 65%', 'Happy 53%', 'Euphoric 44%', 'Uplifted 30%', 'Sleepy 24%']","['Stress 33%', 'Anxiety 27%', 'Depression 23%', 'Pain 23%', 'Insomnia 17%']","['Dry mouth 21%', 'Dry eyes 11%', 'Anxious 5%', 'Dizzy 5%', 'Paranoid 5%']",Hybrid,4.5 ,346 reviews
48,tahoe-og,15–20% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",No relevant amounts,"Tahoe OG is the perfect rainy day strain. Strong and fast-acting, you may not want to use this strain when you’re planning to leave the house. Great for those suffering from insomnia, pain, or lack of appetite, Tahoe OG has made a name for itself among other indicas. A top nighttime strain, it provides an extremely lazy, heavy body sensation. Due to superb breeding, Tahoe OG embodies all of the typical indica effects with an added euphoric, sativa-like kick. This strain features an earthy, lemon taste, and is a phenotype of OG Kush. Maturing at around 10 weeks, Tahoe OG is a must-try for those looking for a great night’s sleep.","['Relaxed 71%', 'Sleepy 50%', 'Happy 49%', 'Euphoric 47%', 'Hungry 32%']","['Stress 37%', 'Pain 36%', 'Insomnia 34%', 'Anxiety 28%', 'Depression 25%']","['Dry mouth 30%', 'Dry eyes 16%', 'Dizzy 7%', 'Paranoid 3%', 'Headache 3%']",Hybrid,4.4 ,1255 reviews
49,king-louis,18–21% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",No relevant amounts,"King Louis XIII might be most famous for making wigs on men de rigeur for the French aristocracy, but in Southern California the name will bring to mind a popular indica-dominant strain. This strain announces itself as many people did in the 1600s: by its smell. The difference is this monarch’s odor is one that’s meant to be enjoyed; its dense nugs have an overwhelmingly piney smell with an earthy musk that will have you thinking of your last forest adventure. Bred in part from OG Kush, Louis XIII has a very similar spicy kush aroma. ","['Relaxed 65%', 'Sleepy 52%', 'Happy 36%', 'Euphoric 34%', 'Hungry 30%']","['Insomnia 36%', 'Stress 36%', 'Pain 33%', 'Anxiety 26%', 'Depression 22%']","['Dry mouth 23%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 3%', 'Headache 3%']",Indica,4.6 ,805 reviews
50,candyland,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"Candyland, a gold medalist of the 2012 KushCon, is a sativa-dominant hybrid bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland when trying to moderate pain, muscle tension, and sour moods. Candyland offers uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes.","['Happy 64%', 'Uplifted 55%', 'Euphoric 52%', 'Relaxed 48%', 'Energetic 44%']","['Stress 31%', 'Depression 29%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 17%']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']",Sativa,4.5 ,1006 reviews
51,master-kush,15–19% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Master Kush is a popular indica cross from two landrace strains from different parts of the Hindu Kush region by the Dutch White Label Seed Company in Amsterdam. The plant produces a subtle earthy, citrus smell with a hint of incense, which is often described as a vintage flavor. The taste of Master Kush is reminiscent of the famous hard-rubbed charas hash. This strain holds a superb balance of full-body relaxation without mind-numbing effects. Instead, Master Kush offers a sharpened sensory awareness that can bring out the best of any activity.","['Relaxed 65%', 'Happy 51%', 'Euphoric 51%', 'Sleepy 40%', 'Uplifted 36%']","['Stress 42%', 'Pain 33%', 'Anxiety 33%', 'Insomnia 27%', 'Depression 24%']","['Dry mouth 36%', 'Dry eyes 22%', 'Dizzy 7%', 'Paranoid 7%', 'Headache 3%']",Indica,4.2 ,1709 reviews
52,strawberry-banana,18–23% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",No relevant amounts,"Strawberry Banana, sometimes known as Strawnana for short, is an indica developed by DNA Genetics in collaboration with Serious Seeds. A genetic cross of Crockett’s Banana Kush and the “Strawberry” phenotype of Bubble Gum, Strawberry Banana inherited a sweet, fruity flavor, hence the name. Known for its heavy resin production and high-THC content, Strawberry Banana produces happy, peaceful effects that sharpen creativity and sensory awareness.","['Relaxed 61%', 'Happy 54%', 'Euphoric 46%', 'Uplifted 36%', 'Creative 24%']","['Stress 27%', 'Anxiety 21%', 'Depression 20%', 'Pain 18%', 'Insomnia 15%']","['Dry mouth 19%', 'Dry eyes 15%', 'Anxious 4%', 'Dizzy 3%', 'Paranoid 3%']",Hybrid,4.5 ,462 reviews
53,banana-kush,17–20% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",No relevant amounts,"This legendary West Coast strain crosses Ghost OG and Skunk Haze to create an indica-dominant hybrid that tastes and smells like a bushel of fresh bananas. Banana Kush tends to provide a mellow buzz alongside a relaxed sense of euphoria. A great choice when dealing with stress or depression, Banana Kush also helps stimulate your creative juices and can help you remain talkative in social settings.","['Relaxed 50%', 'Happy 48%', 'Euphoric 44%', 'Uplifted 38%', 'Creative 26%']","['Stress 35%', 'Anxiety 27%', 'Pain 25%', 'Depression 22%', 'Insomnia 17%']","['Dry mouth 30%', 'Dry eyes 19%', 'Dizzy 7%', 'Paranoid 5%', 'Headache 4%']",Hybrid,4.2 ,1046 reviews
54,sundae-driver,19–23% THC,< 1% CBD,[],No relevant amounts,"Bred by Cannarado and sent out to the Jungle Boyz, Sundae Driver is a smooth and creamy cross of FPOG and Grape Pie. profile. Buds are light green in color with purple accents and come drenched in trichomes. This strain offers a mellow and calming high, just like its flavor. For a tasty joint in the sun, give Sundae Driver a try.","['Happy 56%', 'Relaxed 54%', 'Uplifted 41%', 'Euphoric 35%', 'Creative 23%']","['Pain 23%', 'Stress 21%', 'Depression 19%', 'Anxiety 13%', 'Arthritis 10%']","['Dry mouth 18%', 'Dry eyes 4%', 'Paranoid 4%', 'Anxious 2%', 'Dizzy 2%']",Hybrid,4.7 ,121 reviews
55,gmo-cookies,17–24% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Bred by Divine Genetics, GMO Cookies, also known as Garlic Cookies, is a powerful indica-dominant cross between two famous strains: Chemdog and GSC. Its Chemdawg ancestry provides a petrol smell layered with coffee and fruit, while its GSC parentage provides a sweet and earthy flavor. GMO Cookies is celebrated for its ability to relieve pain without putting you to bed in the process.","['Relaxed 79%', 'Happy 54%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 27%']","['Pain 32%', 'Stress 32%', 'Anxiety 27%', 'Depression 23%', 'Insomnia 20%']","['Dry mouth 18%', 'Dizzy 7%', 'Dry eyes 5%', 'Anxious 3%', 'Paranoid 3%']",Indica,4.7 ,202 reviews
56,fire-og,16–21% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"Bred by crossing OG Kush and SFV OG Kush, Fire OG has a strong scent similar to Lemon Pledge. Its euphoric effects are potent and long-lasting, making this strain a favorite among consumers with high tolerances. The plant has frost covered nuggets with red hairs, giving the appearance that it is on fire—which is, in part, where the name Fire OG came from. Fire OG plants typically flower in 9-10 weeks.","['Relaxed 55%', 'Happy 54%', 'Euphoric 51%', 'Uplifted 39%', 'Hungry 29%']","['Stress 36%', 'Anxiety 27%', 'Depression 26%', 'Pain 25%', 'Insomnia 23%']","['Dry mouth 33%', 'Dry eyes 21%', 'Dizzy 9%', 'Paranoid 6%', 'Anxious 4%']",Hybrid,4.4 ,1051 reviews
57,purple-kush,13–18% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Purple Kush is a pure indica strain that emerged from the Oakland area of California as the result of crossing Hindu Kush and Purple Afghani. Its aroma is subtle and earthy with sweet overtones typical of Kush varieties. Blissful, long-lasting euphoria blankets the mind while physical relaxation rids the body of pain, sleeplessness, and stress. Purple Kush will grow wide rather than tall, and will be ready for harvest following an 8-week flowering time.","['Relaxed 62%', 'Sleepy 56%', 'Happy 55%', 'Euphoric 48%', 'Hungry 39%']","['Stress 45%', 'Pain 38%', 'Insomnia 37%', 'Anxiety 36%', 'Depression 24%']","['Dry mouth 43%', 'Dry eyes 27%', 'Paranoid 10%', 'Dizzy 10%', 'Headache 5%']",Indica,4.2 ,2113 reviews
58,cookies-and-cream,18–23% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",,"Bred by Exotic Genetix, Cookies and Cream is a hybrid cross between Starfighter and an undisclosed GSC phenotype. This sweet-tasting variety provides long-lasting relief for patients treating symptoms throughout the day, but high doses can induce an early night’s sleep. Cookies and Cream took first place in the hybrid category of the 2014 Denver Cannabis Cup.","['Relaxed 71%', 'Happy 66%', 'Euphoric 55%', 'Uplifted 51%', 'Creative 29%']","['Stress 34%', 'Depression 29%', 'Anxiety 27%', 'Pain 23%', 'Insomnia 19%']","['Dry mouth 23%', 'Dry eyes 14%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 1%']",Hybrid,4.5 ,507 reviews
59,headband,16–21% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",No relevant amounts,"Meet Headband, the love-child of cannabis’ power couple, OG Kush and Sour Diesel. The smooth, creamy smoke is accented by flavors of lemons and diesel while the long-lasting effects are great for pain relief, helping you to relax, and to combat elevated stress levels. Many report that the effects create a slight pressure around the crown of their head and feels as though they are wearing a headband. The effects have been known to come on slow, so pace yourself with this potent hybrid. ","['Happy 56%', 'Euphoric 55%', 'Uplifted 48%', 'Relaxed 47%', 'Creative 37%']","['Stress 40%', 'Anxiety 32%', 'Depression 27%', 'Pain 26%', 'Insomnia 15%']","['Dry mouth 34%', 'Dry eyes 20%', 'Dizzy 9%', 'Headache 9%', 'Paranoid 6%']",Hybrid,4.2 ,2497 reviews
60,g-13,17–19% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"G13 is a very strong strain of cannabis indica that is the subject of many urban legends. According to some accounts, the CIA, FBI, and other agencies gathered the best strains of marijuana from breeders all over the world. At a super-secret installation at the University of Mississippi, they bred many new super hybrids in the late 1960s. Allegedly, a single cutting of this plant was liberated by an unnamed technician and bred for the masses. 
 Although the legends are probably not true, G13 delivers effects like no other. If you have the opportunity, definitely partake in this strain.","['Euphoric 58%', 'Relaxed 58%', 'Happy 57%', 'Uplifted 39%', 'Sleepy 33%']","['Stress 42%', 'Pain 33%', 'Anxiety 31%', 'Depression 26%', 'Insomnia 24%']","['Dry mouth 35%', 'Dry eyes 19%', 'Dizzy 8%', 'Paranoid 6%', 'Headache 4%']",Indica,4.3 ,1071 reviews
61,la-confidential,15–18% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"LA Confidential is known as a very popular and successful strain. Its buds have a frosty, lime green appearance and little purple leaves. The taste is smooth and piney, with a classic skunky aroma that does not linger for too long. Overall, LA Confidential is a well-rounded strain that delivers a fast-approaching sensation that is both psychedelic and super calming on the mind and body. For newer patients seeking relief, LA Confidential can both lull you to sleep and treat acute pain. ","['Relaxed 60%', 'Happy 50%', 'Euphoric 48%', 'Sleepy 42%', 'Uplifted 34%']","['Stress 44%', 'Pain 38%', 'Anxiety 32%', 'Insomnia 29%', 'Depression 24%']","['Dry mouth 30%', 'Dry eyes 19%', 'Dizzy 7%', 'Paranoid 6%', 'Headache 3%']",Indica,4.3 ,1266 reviews
62,harlequin,3–6% THC,7–10% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Harlequin is a 75/25 sativa-dominant strain renowned for its reliable expression of CBD. A descendant of Colombian Gold, a Nepali indica, and Thai and Swiss landrace strains, you can depend on Harlequin to provide clear-headed, alert sativa effects. Harlequin's high levels of CBD make this strain one of the most effective out there for treatment of pain and anxiety, as CBD can counteract THC’s paranoia while amplifying its painkilling properties. Flavors can range from earthy musk to sweet mango, but without a doubt, what draws crowds to Harlequin is its ability to relax without sedation and to relieve without intoxication.","['Relaxed 56%', 'Happy 45%', 'Uplifted 43%', 'Focused 38%', 'Energetic 28%']","['Pain 46%', 'Stress 39%', 'Anxiety 38%', 'Depression 25%', 'Inflammation 20%']","['Dry mouth 17%', 'Dry eyes 10%', 'Anxious 4%', 'Dizzy 4%', 'Headache 3%']",Sativa,4.3 ,1245 reviews
